 avg_rating,father,grandfather,price,ratings,sum_rating,super_father,title
4.1,女装,服装服饰,￥137.66 - ￥242.05,"63%,11%,10%,5%,11%",234,服装、鞋靴、箱包,Calvin Klein 卡尔文·克莱恩 女式弹力棉经典三角内裤
4,女装,服装服饰,￥72.04 - ￥123.46,"61%,16%,14%,2%,7%",101,服装、鞋靴、箱包,Champion 男式 Jersey Ringer 针织运动背心
4.5,女装,服装服饰,￥118.49 - ￥124.78,"74%,16%,6%,1%,3%",74,服装、鞋靴、箱包,（郡是）GUNZE无钢圈文胸质地轻盈无痕，背部设计优美TB1053H 4Q
3.9,女装,服装服饰,￥97.38 - ￥119.38,"68%,11%,0%,7%,14%",28,服装、鞋靴、箱包,(厚木) ATSUGI 连裤袜 ASTIGU【肌】 素肌感 连裤袜 〈3双装〉 (FP5880
4.6,女装,服装服饰,￥140.45 - ￥159.12,"83%,0%,17%,0%,0%",12,服装、鞋靴、箱包,[冠军] 口袋T恤 基本款 CW-M321 女款
5,女装,服装服饰,￥162.54 - ￥169.94,"100%,0%,0%,0%,0%",2,服装、鞋靴、箱包,[冠军] 短裤 CW-P503
4.7,女装,服装服饰,￥270.72,"83%,13%,2%,0%,2%",48,服装、鞋靴、箱包,犬印本铺 孕妇骨盆带 使用期长 L 粉红色 尼龙 HB8149
4.7,女装,服装服饰,￥135.49 - ￥156.66,"84%,11%,5%,0%,0%",19,服装、鞋靴、箱包,[冠军] C Vapor T恤 CW-PS303
4.4,女装,服装服饰,￥167.62 - ￥191.73,"80%,7%,4%,5%,4%",79,服装、鞋靴、箱包,Wacoal 华歌尔 无钢圈文胸 [整洁简易文胸 日常型]
3.8,女装,服装服饰,￥92.54 - ￥185.50,"60%,7%,20%,0%,13%",15,服装、鞋靴、箱包,Nike Mens Park VI T-Shirt
3.6,女装,服装服饰,￥131.87 - ￥166.87,"45%,25%,15%,5%,10%",20,服装、鞋靴、箱包,Champion 女士 圆领T恤
4.5,女装,服装服饰,￥169.00 - ￥179.00,"50%,50%,0%,0%,0%",2,服装、鞋靴、箱包,Fanru 梵如 女式夏装新款韩版印花棉麻连衣裙女短袖气质学院风裙子 7B18-ZH1X
4.6,女装,服装服饰,￥82.61 - ￥100.37,"79%,13%,8%,0%,0%",39,服装、鞋靴、箱包,(郡是) GUNZE 短裤 舒适工作室 两条装 ***纯棉 日本制造KH5070
4.1,女装,服装服饰,￥170.94,"67%,7%,15%,7%,4%",27,服装、鞋靴、箱包,犬印本铺 产后恢复内衣收腹带束腰70cm 粉色 N2803
4.2,女装,服装服饰,￥160.99,"68%,17%,6%,3%,6%",34,服装、鞋靴、箱包,ATSUGI 厚木 矫正短裤 骨盆矫正 骨盆交叉短裤提臀〈2件装〉88227AS 491 黑色 L
4.3,女装,服装服饰,￥128.37 - ￥180.94,"64%,15%,9%,4%,8%",93,服装、鞋靴、箱包,GUNZE 郡是 无钢圈文胸 温柔物语・精致，背部舒适无痕 女士
4,女童鞋,鞋靴,￥331.98 - ￥383.60,"57%,17%,10%,6%,10%",51,服装、鞋靴、箱包,adidas Originals kids 阿迪达斯三叶草 ORIGINALS KIDS 男童 休闲运动鞋STAN SMITH J  M20605
4.5,女装,服装服饰,￥155.08 - ￥257.09,"50%,50%,0%,0%,0%",2,服装、鞋靴、箱包,[冠军] 水手领衬衫 CW-PS001
4,女童鞋,鞋靴,￥109.00 - ￥149.00,"70%,10%,10%,0%,10%",10,服装、鞋靴、箱包,VOCANU TRE 英国 男童 女童 亲子鞋 春夏网红老爹鞋网面休闲童鞋运动鞋子 27-37码
3.7,女装,服装服饰,￥94.52 - ￥114.20,"64%,0%,7%,22%,7%",14,服装、鞋靴、箱包,[郡是] 轻型文胸【包覆全罩杯】无钢圈文胸 EB1229H
4.3,女童鞋,鞋靴,￥228.65 - ￥889.52,"70%,13%,4%,2%,11%",101,服装、鞋靴、箱包,Timberland 添柏岚 儿童 6英寸优质靴
4.4,女装,服装服饰,￥113.98 - ￥141.89,"72%,12%,12%,4%,0%",25,服装、鞋靴、箱包,GUNZE郡是 无钢圈文胸 KIREILABO 完全无缝 棉混纺 清凉触感 半身背心 女式 KL2055
4.1,女童鞋,鞋靴,"￥223.20 - ￥1,033.08","62%,12%,8%,8%,10%",50,服装、鞋靴、箱包,adidas Originals kids 阿迪达斯三叶草 男童 休闲运动鞋 SUPERSTAR CF C S74906
4.9,女装,服装服饰,￥107.64,"93%,7%,0%,0%,0%",14,服装、鞋靴、箱包,サンファミリー 防紫外线遮阳帽
4.6,女童鞋,鞋靴,￥144.78,"81%,13%,0%,6%,0%",16,服装、鞋靴、箱包,[IFME] 室内鞋 SC-0002 粉色 15.5 3E
3.8,女装,服装服饰,￥97.38 - ￥124.80,"62%,8%,15%,0%,15%",13,服装、鞋靴、箱包,(厚木)ATSUGI 连裤袜 ASTIGU 【强】 结实 连裤袜 〈3双装〉
4.5,女童鞋,鞋靴,￥155.71,"75%,15%,5%,5%,0%",20,服装、鞋靴、箱包, [ Ifme ] 拖鞋 School SC 0003  蓝色 14 3E
3.3,女装,服装服饰,￥165.64 - ￥216.22,"34%,33%,0%,0%,33%",3,服装、鞋靴、箱包,Tommy Hilfiger 汤米·希尔费格 女士 T 恤 Holli C-nk 茶 Ss
4.5,女童鞋,鞋靴,￥129.84 - ￥146.49,"67%,33%,0%,0%,0%",3,服装、鞋靴、箱包,ASAHI 朝日 动物系列 运动鞋 P101
5,女装,服装服饰,￥165.19 - ￥216.92,"100%,0%,0%,0%,0%",4,服装、鞋靴、箱包,Wacoal 华歌尔 Wing 文胸 [*舒适文胸 日常款] 无钢圈
5,女童鞋,鞋靴,￥137.39 - ￥214.35,,1,服装、鞋靴、箱包,Crocs 儿童 Isabella 蝴蝶结装饰凉鞋
4.5,女装,服装服饰,￥232.60 - ￥255.47,"50%,50%,0%,0%,0%",4,服装、鞋靴、箱包,[冠军] 开叉连衣裙 CW-PS306
3.5,女装,服装服饰,￥152.16 - ￥175.83,"50%,13%,13%,12%,12%",8,服装、鞋靴、箱包,[冠军] C Vapor Cool T恤 CW-NS312 女士
3.9,男鞋,鞋靴,￥447.56 - ￥815.09,"58%,16%,8%,5%,13%",193,服装、鞋靴、箱包,Clarks Originals 男士 低帮运动鞋 261073667
5,女装,服装服饰,￥79.89 - ￥350.45,"100%,0%,0%,0%,0%",1,服装、鞋靴、箱包,Champion 女式 Authentic Wash T 恤
4.5,男鞋,鞋靴,"￥427.62 - ￥1,726.15","70%,22%,5%,3%,0%",37,服装、鞋靴、箱包,ECCO 爱步 男式 Yucatan运动凉鞋
5,女装,服装服饰,￥130.55 - ￥307.75,"100%,0%,0%,0%,0%",1,服装、鞋靴、箱包,Champion 女式 Gym Issue 橄榄球 T 恤
4.6,男鞋,鞋靴,￥466.18 - ￥609.40,"84%,9%,3%,1%,3%",70,服装、鞋靴、箱包,ECCO 软7，男式训练
4.3,女装,服装服饰,￥194.76,"53%,40%,7%,0%,0%",15,服装、鞋靴、箱包,犬印本铺 孕妇骨盆带 LL 粉红色 S3054
4.5,男鞋,鞋靴,￥246.31 - ￥993.25,"71%,17%,5%,3%,4%",180,服装、鞋靴、箱包,Crocs 卡骆驰 男士凉鞋 15041 Swiftwater系列 休闲凉鞋 Swiftwater Sandal
3.9,女装,服装服饰,￥111.84 - ￥748.05,"68%,0%,16%,11%,5%",19,服装、鞋靴、箱包,Calvin Klein Women's Modern Cotton Bralette
4.2,男鞋,鞋靴,"￥408.43 - ￥1,383.01","64%,22%,7%,0%,7%",14,服装、鞋靴、箱包,ECCO Exostrike 男式低帮徒步鞋
4.2,女装,服装服饰,￥108.14 - ￥108.44,"67%,0%,33%,0%,0%",3,服装、鞋靴、箱包,iHomey 女式宽边遮阳帽可折叠 UPF 50+ *渔夫帽
4.5,男鞋,鞋靴,￥388.90 - ￥828.87,"73%,9%,18%,0%,0%",11,服装、鞋靴、箱包,ECCO 男士 X-trinsic 凉鞋
3.6,女装,服装服饰,￥243.76 - ￥489.45,"39%,22%,17%,0%,22%",18,服装、鞋靴、箱包,Calvin Klein 卡尔文·克莱恩 女士Essence 2个装托胸胸罩
4.8,男鞋,鞋靴,"￥526.61 - ￥1,107.10","91%,0%,9%,0%,0%",22,服装、鞋靴、箱包,ECCO 爱步 男士 Melbourne Wingtip 系带牛津鞋
4.7,女装,服装服饰,￥149.52 - ￥170.45,"75%,25%,0%,0%,0%",4,服装、鞋靴、箱包,[郡是] 无钢圈文胸 KIREILABO·hada+·塑形肌肤的文胸
4,男鞋,鞋靴,￥263.79 - ￥537.19,,7,服装、鞋靴、箱包,Clarks 男士 Vargo Plain 德比鞋，
3.7,女装,服装服饰,￥151.86,,10,服装、鞋靴、箱包,犬印本铺 孕妇 产后妈妈骨盆内裤 粉色L SH2515
4.7,女鞋,鞋靴,"￥321.88 - ￥1,251.19","86%,7%,0%,7%,0%",13,服装、鞋靴、箱包,ECCO Yucatan 女士凉鞋
4.4,男鞋,鞋靴,￥359.53 - ￥893.63,"65%,22%,6%,2%,5%",346,服装、鞋靴、箱包,Clarks 男式 Tilden Cap 牛津鞋
4,女装,服装服饰,￥132.97 - ￥173.23,"38%,25%,37%,0%,0%",8,服装、鞋靴、箱包,Champion 女士休闲宽松运动慢跑长裤
4.5,女鞋,鞋靴,￥271.22 - ￥382.88,"72%,14%,14%,0%,0%",7,服装、鞋靴、箱包,VANS 范斯 女士 FILMORE Decon 运动鞋
4.6,男鞋,鞋靴,￥510.91 - ￥617.70,"85%,5%,8%,0%,2%",38,服装、鞋靴、箱包,ECCO 男士 Terracruise Lt 低帮徒步鞋
5,女装,服装服饰,￥121.78 - ￥446.85,"100%,0%,0%,0%,0%",9,服装、鞋靴、箱包,Calvin Klein Women's Modern Cotton Bralette
4.2,女鞋,鞋靴,"￥544.28 - ￥1,207.59","86%,0%,0%,0%,14%",7,服装、鞋靴、箱包,ASICS Gel-Kayano 25 女式跑步鞋
5,男鞋,鞋靴,￥484.41 - ￥828.53,"100%,0%,0%,0%,0%",7,服装、鞋靴、箱包,ECCO 男士 X-trinsic 凉鞋
5,女装,服装服饰,￥104.54 - ￥118.36,,9,服装、鞋靴、箱包,（厚木）ATSUGI 内裤 3D COVER (3D COVER) 收腹 高腰 背面蕾丝 〈2条装〉
3.5,女鞋,鞋靴,￥248.15 - ￥956.08,"43%,0%,43%,0%,14%",7,服装、鞋靴、箱包,Clarks 女 Demi Beat短靴26135351
3.8,男鞋,鞋靴,"￥234.29 - ￥1,072.45",,24,服装、鞋靴、箱包,PUMA 男式 Thunder Desert 休闲运动鞋/潮流老爹鞋
4.6,女装,服装服饰,￥144.51 - ￥158.79,"67%,33%,0%,0%,0%",3,服装、鞋靴、箱包,[冠军] 口袋T恤 CW-P301
